year,plantane
1800,7.9664302266e-08
1801,1.95869184575e-07
1802,2.02812159067e-07
1803,1.7795743575e-07
1804,5.8319803505e-08
1805,6.54126400453e-08
1806,9.38573746131e-08
1807,9.6378726037e-08
1808,7.34241076827e-08
1809,9.79730998552e-08
1810,7.42095878081e-08
1811,6.64651717367e-08
1812,5.49478190356e-08
1813,7.48361279612e-08
1814,8.88332940541e-08
1815,6.59256612264e-08
1816,4.78120233775e-08
1817,3.36361771029e-08
1818,3.61212813734e-08
1819,3.24667534339e-08
1820,4.67404565422e-08
1821,5.2725629196e-08
1822,6.19001676583e-08
1823,5.23823372826e-08
1824,3.68483450419e-08
1825,4.9553345353e-08
1826,4.91525903682e-08
1827,3.88655366409e-08
1828,1.81204952524e-08
1829,2.35246955249e-09
1830,2.19814144664e-09
1831,1.06121651466e-08
1832,1.06121651466e-08
1833,1.17605411335e-08
1834,6.90036857283e-09
1835,6.90036857283e-09
1836,1.35776248023e-08
1837,1.63255992428e-08
1838,2.03525635604e-08
1839,1.69676741546e-08
1840,2.2441695983e-08
1841,2.1285026186e-08
1842,1.57806393138e-08
1843,6.84506910413e-09
1844,6.89308462161e-09
1845,6.89308462161e-09
1846,7.42414988745e-09
1847,1.30870618046e-08
1848,1.30870618046e-08
1849,1.25483481384e-08
1850,3.96712618311e-09
1851,5.16033319779e-09
1852,3.85919326125e-09
1853,8.24798570183e-09
1854,7.60505292074e-09
1855,5.96095746837e-09
1856,1.21264460325e-08
1857,1.15761717989e-08
1858,1.67864696958e-08
1859,6.78047740177e-09
1860,9.65906188366e-09
1861,5.10681367564e-09
1862,1.65117456004e-08
1863,1.36331611185e-08
1864,1.46038644141e-08
1865,3.25863018051e-09
1866,5.82954077603e-09
1867,5.00508020214e-09
1868,5.59121341818e-09
1869,5.44953252894e-09
1870,3.62334932428e-09
1871,5.9589315704e-09
1872,4.67129053957e-09
1873,4.67129053957e-09
1874,1.6592885214e-09
1875,2.4876967523e-09
1876,2.98690609283e-09
1877,8.29484281262e-09
1878,1.03995229465e-08
1879,9.90031360596e-09
1880,9.14274874327e-09
1881,5.06807170305e-09
1882,7.93484814891e-09
1883,2.86677644586e-09
1884,4.81116739041e-09
1885,1.94439094455e-09
1886,5.26996779548e-09
1887,3.32557685094e-09
1888,3.32557685094e-09
1889,0.0
1890,1.09836146104e-08
1891,1.20519266048e-08
1892,1.24159746928e-08
1893,2.17341744602e-09
1894,4.15123591058e-09
1895,4.104369881e-09
1896,4.33238955821e-09
1897,1.28625909923e-09
1898,2.05069783377e-09
1899,1.82730068114e-09
1900,2.08656027641e-09
1901,1.00493948348e-09
1902,7.85754035911e-10
1903,5.26974704614e-09
1904,7.73650388197e-09
1905,8.64155602631e-09
1906,7.68095613039e-09
1907,7.56636960494e-09
1908,7.43359337048e-09
1909,4.38904379507e-09
1910,6.97161765354e-09
1911,6.37147105446e-09
1912,5.63336792029e-09
1913,9.50216053989e-10
1914,5.26764742936e-10
1915,5.26764742936e-10
1916,8.38648558007e-10
1917,8.84191497796e-10
1918,8.84191497796e-10
1919,2.24098140045e-09
1920,3.29011839995e-09
1921,4.70530849469e-09
1922,3.36405475698e-09
1923,5.42417601575e-09
1924,4.90737195324e-09
1925,5.91028962808e-09
1926,4.67325541228e-09
1927,6.52351957638e-09
1928,4.94158961898e-09
1929,4.62298022086e-09
1930,2.71906286375e-09
1931,3.66459740331e-09
1932,3.24594029433e-09
1933,3.35033412124e-09
1934,3.55709635821e-09
1935,4.04612154892e-09
1936,4.17899981286e-09
1937,4.34755424254e-09
1938,4.00386849601e-09
1939,3.76974932751e-09
1940,2.44889812132e-09
1941,2.12334017036e-09
1942,2.39877924931e-09
1943,3.63001458522e-09
1944,2.35456017646e-09
1945,1.23123533591e-09
1946,1.44317348812e-09
1947,4.13495332419e-09
1948,6.16620515759e-09
1949,6.75011113671e-09
1950,4.68200807754e-09
1951,4.50057470921e-09
1952,2.8926599079e-09
1953,2.26898313101e-09
1954,3.84437019256e-09
1955,3.6086084676e-09
1956,3.77933201401e-09
1957,5.24592086437e-09
1958,5.38547832255e-09
1959,6.06873247026e-09
1960,3.64321083487e-09
1961,5.92192738365e-09
1962,7.88797930677e-09
1963,7.58248756375e-09
1964,5.58675675166e-09
1965,4.68970646576e-09
1966,4.62471974605e-09
1967,5.6985626958e-09
1968,5.46667670391e-09
1969,5.81802831838e-09
1970,4.95954521895e-09
1971,4.30658181338e-09
1972,2.02369180672e-09
1973,2.35593448454e-09
1974,2.12994510917e-09
1975,3.14428784861e-09
1976,2.60879889913e-09
1977,2.48381134179e-09
1978,3.5871423563e-09
1979,3.33048934265e-09
1980,3.21961310853e-09
1981,1.55757827007e-09
1982,1.59760323489e-09
1983,1.77473239808e-09
1984,1.76363566344e-09
1985,2.22517360093e-09
1986,1.86481248036e-09
1987,1.63285162706e-09
1988,1.48242213412e-09
1989,1.27783398215e-09
1990,1.23937112425e-09
1991,7.0234332239e-10
1992,1.00328907219e-09
1993,8.31013461748e-10
1994,1.21936301796e-09
1995,1.30171266359e-09
1996,1.6181834391e-09
1997,1.44411431887e-09
1998,3.93990115533e-09
1999,5.27427001148e-09
2000,5.38377052199e-09
2001,2.68897087929e-09
2002,1.85012122289e-09
2003,2.07617811832e-09
2004,2.00383943697e-09
2005,1.52649653103e-09
2006,1.62388092787e-09
2007,2.21314775765e-09
2008,2.5686029137e-09
